,instructor,quality,difficulty,take_again,timestamp,course_number,department,course_name,questions,%response,contributions,avg_response_time,enrolled,%instructor_response,%active,semester
171,Michael George ,5,4,Yes,"May 16th, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
172,Michael George ,5,4,Yes,"May 16th, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
173,Michael George ,1,5,No,"Apr 18th, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
174,Michael George ,1,5,No,"Apr 18th, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
175,Michael George ,1,5,No,"Apr 18th, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
176,Michael George ,1,5,No,"Apr 18th, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
177,Michael George ,4,3,Yes,"Jan 23rd, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
178,Michael George ,4,3,Yes,"Jan 23rd, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
179,Michael George ,4,3,Yes,"Jan 23rd, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
180,Michael George ,4,3,Yes,"Jan 23rd, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
181,Michael George ,1,5,No,"Jan 23rd, 2020",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
182,Michael George ,1,5,No,"Jan 23rd, 2020",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
183,Michael George ,1,5,No,"Jan 23rd, 2020",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
184,Michael George ,1,5,No,"Jan 23rd, 2020",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
185,Michael George ,1,5,No,"Sep 4th, 2019",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
186,Michael George ,1,5,No,"Sep 4th, 2019",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
187,Michael George ,1,5,No,"Sep 4th, 2019",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
188,Michael George ,1,5,No,"Sep 4th, 2019",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
189,Michael George ,4,4,Yes,"May 19th, 2019",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
190,Michael George ,4,4,Yes,"May 19th, 2019",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
191,Michael George ,4,4,Yes,"May 19th, 2019",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
192,Michael George ,4,4,Yes,"May 19th, 2019",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
193,Michael George ,3,5,No,"May 7th, 2019",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
194,Michael George ,3,5,No,"May 7th, 2019",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
195,Michael George ,3,5,No,"May 7th, 2019",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
196,Michael George ,3,5,No,"May 7th, 2019",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
197,Michael George ,3,5,No,"Dec 15th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
198,Michael George ,3,5,No,"Dec 15th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
199,Michael George ,3,5,No,"Dec 15th, 2018",2800, CS,CS 2800,1101,96,4073,17,424,78,66,FA19
200,Michael George ,3,5,No,"Dec 15th, 2018",2800, CS,CS 2800,1058,100,6008,9,417,77,63,FA18
201,Michael George ,2,5,No,"Oct 15th, 2018",2800, CS,CS 2800,1198,97,4700,20,419,85,60,SP19
202,Michael George ,2,5,No,"Oct 15th, 2018",2800, CS,CS 2800,1554,96,4808,37,396,85,72,SP20
